Frekvens	Kanal A	Kanal B
(ms)	(V)	(V)

2.86415993	5.66929100	3.14960600
2.87639993	5.59055100	3.14960600
2.88863993	5.66929100	3.14960600
2.90087993	5.66929100	3.14960600
2.91311993	5.66929100	3.14960600
2.92535993	5.66929100	3.14960600
2.93759993	5.66929100	3.14960600
2.94983993	5.66929100	3.14960600
2.96207993	5.66929100	3.14960600
2.97431993	5.66929100	3.14960600
2.98655993	5.66929100	3.14960600
2.99879993	5.66929100	3.07086600
3.01103993	5.66929100	3.14960600
3.02327993	5.66929100	3.07086600
3.03551993	5.66929100	3.14960600
3.04775993	5.66929100	3.07086600
3.05999993	5.66929100	3.14960600
3.07223993	5.66929100	3.07086600
3.08447993	5.66929100	3.07086600
3.09671993	5.66929100	3.07086600
3.10895993	5.66929100	3.07086600
3.12119992	5.66929100	3.07086600
3.13343992	5.66929100	3.14960600
3.14567992	5.66929100	3.07086600
3.15791992	5.66929100	3.07086600
3.17015992	5.59055100	3.07086600
3.18239992	5.66929100	3.07086600
3.19463992	5.66929100	3.07086600
3.20687992	5.66929100	3.07086600
3.21911992	5.66929100	3.07086600
3.23135992	5.66929100	3.07086600
3.24359992	5.59055100	3.07086600
3.25583992	5.66929100	3.07086600
3.26807992	5.66929100	3.07086600
3.28031992	5.66929100	3.07086600
3.29255992	5.66929100	3.07086600
3.30479992	5.66929100	3.07086600
3.31703992	5.59055100	3.07086600
3.32927992	5.66929100	3.07086600
3.34151992	5.59055100	3.07086600
3.35375992	5.66929100	3.07086600
3.36599992	5.59055100	3.07086600
3.37823992	5.59055100	3.07086600
3.39047992	5.59055100	3.07086600
3.40271992	5.59055100	3.07086600
3.41495992	5.59055100	3.07086600
3.42719992	5.59055100	3.07086600
3.43943992	5.59055100	3.07086600
3.45167992	5.59055100	3.07086600
3.46391992	5.59055100	3.07086600
3.47615992	5.59055100	3.07086600
3.48839992	5.59055100	3.07086600
3.50063992	5.59055100	3.07086600
3.51287992	5.59055100	3.07086600
3.52511992	5.59055100	3.07086600
3.53735991	5.59055100	2.99212600
3.54959991	5.59055100	3.07086600
3.56183991	5.59055100	2.99212600
3.57407991	5.59055100	3.07086600
3.58631991	5.59055100	2.99212600
3.59855991	5.59055100	2.99212600
3.61079991	5.59055100	2.99212600
3.62303991	5.59055100	2.99212600
3.63527991	5.59055100	2.99212600
3.64751991	5.51181100	2.99212600
3.65975991	5.59055100	3.07086600
3.67199991	5.51181100	2.99212600
3.68423991	5.51181100	2.99212600
3.69647991	5.51181100	2.99212600
3.70871991	5.51181100	2.99212600
3.72095991	5.51181100	2.99212600
3.73319991	5.51181100	2.99212600
3.74543991	5.51181100	2.99212600
3.75767991	5.51181100	2.99212600
3.76991991	5.51181100	2.99212600
3.78215991	5.51181100	2.99212600
3.79439991	5.51181100	2.99212600
3.80663991	5.51181100	2.99212600
3.81887991	5.51181100	2.99212600
3.83111991	5.51181100	2.99212600
3.84335991	5.43307100	2.99212600
3.85559991	5.43307100	2.99212600
3.86783991	5.43307100	2.99212600
3.88007991	5.43307100	2.99212600
3.89231991	5.43307100	2.99212600
3.90455991	5.43307100	2.99212600
3.91679991	5.43307100	2.99212600
3.92903991	5.43307100	2.99212600
3.94127991	5.43307100	2.99212600
3.95351990	5.43307100	2.99212600
3.96575990	5.43307100	2.99212600
3.97799990	5.35433100	2.99212600
3.99023990	5.43307100	2.99212600
4.00247990	5.35433100	2.99212600
4.01471990	5.35433100	2.99212600
4.02695990	5.35433100	2.99212600
4.03919990	5.35433100	2.99212600
4.05143990	5.35433100	2.99212600
4.06367990	5.35433100	2.99212600
4.07591990	5.35433100	2.99212600
4.08815990	5.35433100	2.99212600
4.10039990	5.35433100	2.91338600
4.11263990	5.27559000	2.99212600
4.12487990	5.27559000	2.99212600
4.13711990	5.27559000	2.99212600
4.14935990	5.27559000	2.91338600
4.16159990	5.27559000	2.99212600
4.17383990	5.27559000	2.91338600
4.18607990	5.27559000	2.99212600
4.19831990	5.27559000	2.91338600
4.21055990	5.27559000	2.91338600
4.22279990	5.19685000	2.99212600
4.23503990	5.19685000	2.91338600
4.24727990	5.19685000	2.91338600
4.25951990	5.19685000	2.91338600
4.27175990	5.19685000	2.91338600
4.28399990	5.19685000	2.91338600
4.29623990	5.19685000	2.91338600
4.30847990	5.19685000	2.91338600
4.32071990	5.11811000	2.91338600
4.33295990	5.11811000	2.91338600
4.34519990	5.11811000	2.91338600
4.35743990	5.11811000	2.91338600
4.36967989	5.11811000	2.91338600
4.38191989	5.11811000	2.91338600
4.39415989	5.03937000	2.91338600
4.40639989	5.11811000	2.91338600
4.41863989	5.03937000	2.91338600
4.43087989	5.03937000	2.91338600
4.44311989	5.03937000	2.91338600
4.45535989	5.03937000	2.91338600
4.46759989	5.03937000	2.91338600
4.47983989	5.03937000	2.91338600
4.49207989	4.96063000	2.91338600
4.50431989	4.96063000	2.91338600
4.51655989	4.96063000	2.91338600
4.52879989	4.96063000	2.91338600
4.54103989	4.96063000	2.91338600
4.55327989	4.96063000	2.91338600
4.56551989	4.96063000	2.91338600
4.57775989	4.88189000	2.91338600
4.58999989	4.88189000	2.91338600
4.60223989	4.88189000	2.91338600
4.61447989	4.88189000	2.91338600
4.62671989	4.88189000	2.91338600
4.63895989	4.88189000	2.91338600
4.65119989	4.80315000	2.83464600
4.66343989	4.80315000	2.83464600
4.67567989	4.80315000	2.91338600
4.68791989	4.80315000	2.83464600
4.70015989	4.80315000	2.91338600
4.71239989	4.80315000	2.83464600
4.72463989	4.72441000	2.83464600
4.73687989	4.72441000	2.83464600
4.74911989	4.72441000	2.91338600
4.76135989	4.72441000	2.83464600
4.77359989	4.72441000	2.83464600
4.78583988	4.72441000	2.83464600
4.79807988	4.64566900	2.83464600
4.81031988	4.64566900	2.83464600
4.82255988	4.64566900	2.83464600
4.83479988	4.64566900	2.83464600
4.84703988	4.64566900	2.83464600
4.85927988	4.64566900	2.83464600
4.87151988	4.56692900	2.83464600
4.88375988	4.56692900	2.83464600
4.89599988	4.56692900	2.83464600
4.90823988	4.56692900	2.83464600
4.92047988	4.56692900	2.83464600
4.93271988	4.56692900	2.83464600
4.94495988	4.48818900	2.83464600
4.95719988	4.48818900	2.83464600
4.96943988	4.48818900	2.83464600
4.98167988	4.48818900	2.83464600
4.99391988	4.48818900	2.83464600
5.00615988	4.40944900	2.83464600
5.01839988	4.40944900	2.83464600
5.03063988	4.40944900	2.83464600
5.04287988	4.40944900	2.83464600
5.05511988	4.40944900	2.83464600
5.06735988	4.40944900	2.83464600
5.07959988	4.33070900	2.83464600
5.09183988	4.33070900	2.83464600
5.10407988	4.33070900	2.83464600
5.11631988	4.33070900	2.83464600
5.12855988	4.33070900	2.83464600
5.14079988	4.25196800	2.83464600
5.15303988	4.25196800	2.83464600
5.16527988	4.25196800	2.83464600
