Frekvens	Kanal A	Kanal B
(ms)	(V)	(V)

3.42719992	0.15748030	1.25984300
3.43943992	0.15748030	1.25984300
3.45167992	0.15748030	1.25984300
3.46391992	0.07874016	1.25984300
3.47615992	0.07874016	1.25984300
3.48839992	0.07874016	1.25984300
3.50063992	0.15748030	1.25984300
3.51287992	0.07874016	1.25984300
3.52511992	0.15748030	1.25984300
3.53735991	0.07874016	1.25984300
3.54959991	0.07874016	1.25984300
3.56183991	0.07874016	1.25984300
3.57407991	0.15748030	1.25984300
3.58631991	0.15748030	1.25984300
3.59855991	0.15748030	1.33858300
3.61079991	0.15748030	1.33858300
3.62303991	0.15748030	1.25984300
3.63527991	0.15748030	1.33858300
3.64751991	0.15748030	1.33858300
3.65975991	0.15748030	1.25984300
3.67199991	0.15748030	1.33858300
3.68423991	0.15748030	1.25984300
3.69647991	0.15748030	1.33858300
3.70871991	0.15748030	1.25984300
3.72095991	0.15748030	1.33858300
3.73319991	0.15748030	1.33858300
3.74543991	0.15748030	1.33858300
3.75767991	0.15748030	1.33858300
3.76991991	0.15748030	1.33858300
3.78215991	0.15748030	1.33858300
3.79439991	0.15748030	1.33858300
3.80663991	0.15748030	1.33858300
3.81887991	0.15748030	1.33858300
3.83111991	0.15748030	1.33858300
3.84335991	0.23622050	1.33858300
3.85559991	0.15748030	1.33858300
3.86783991	0.23622050	1.33858300
3.88007991	0.15748030	1.33858300
3.89231991	0.23622050	1.33858300
3.90455991	0.23622050	1.33858300
3.91679991	0.15748030	1.33858300
3.92903991	0.23622050	1.33858300
3.94127991	0.23622050	1.33858300
3.95351990	0.23622050	1.33858300
3.96575990	0.23622050	1.33858300
3.97799990	0.23622050	1.33858300
3.99023990	0.23622050	1.33858300
4.00247990	0.23622050	1.33858300
4.01471990	0.23622050	1.41732300
4.02695990	0.23622050	1.33858300
4.03919990	0.23622050	1.41732300
4.05143990	0.23622050	1.33858300
4.06367990	0.23622050	1.41732300
4.07591990	0.23622050	1.33858300
4.08815990	0.31496060	1.33858300
4.10039990	0.23622050	1.41732300
4.11263990	0.31496060	1.41732300
4.12487990	0.23622050	1.33858300
4.13711990	0.31496060	1.41732300
4.14935990	0.31496060	1.41732300
4.16159990	0.31496060	1.41732300
4.17383990	0.31496060	1.41732300
4.18607990	0.31496060	1.41732300
4.19831990	0.31496060	1.41732300
4.21055990	0.31496060	1.41732300
4.22279990	0.31496060	1.33858300
4.23503990	0.31496060	1.41732300
4.24727990	0.31496060	1.41732300
4.25951990	0.31496060	1.41732300
4.27175990	0.31496060	1.41732300
4.28399990	0.39370080	1.41732300
4.29623990	0.39370080	1.41732300
4.30847990	0.39370080	1.41732300
4.32071990	0.39370080	1.41732300
4.33295990	0.39370080	1.41732300
4.34519990	0.39370080	1.41732300
4.35743990	0.39370080	1.41732300
4.36967989	0.39370080	1.41732300
4.38191989	0.39370080	1.41732300
4.39415989	0.39370080	1.41732300
4.40639989	0.47244100	1.41732300
4.41863989	0.47244100	1.41732300
4.43087989	0.47244100	1.41732300
4.44311989	0.47244100	1.41732300
4.45535989	0.47244100	1.41732300
4.46759989	0.47244100	1.41732300
4.47983989	0.47244100	1.41732300
4.49207989	0.47244100	1.41732300
4.50431989	0.47244100	1.41732300
4.51655989	0.47244100	1.41732300
4.52879989	0.55118110	1.41732300
4.54103989	0.55118110	1.41732300
4.55327989	0.55118110	1.41732300
4.56551989	0.55118110	1.41732300
4.57775989	0.55118110	1.41732300
4.58999989	0.55118110	1.41732300
4.60223989	0.55118110	1.49606300
4.61447989	0.55118110	1.41732300
4.62671989	0.55118110	1.49606300
4.63895989	0.55118110	1.41732300
4.65119989	0.62992130	1.49606300
4.66343989	0.62992130	1.49606300
4.67567989	0.62992130	1.49606300
4.68791989	0.62992130	1.49606300
4.70015989	0.62992130	1.49606300
4.71239989	0.62992130	1.49606300
4.72463989	0.70866140	1.49606300
4.73687989	0.70866140	1.49606300
4.74911989	0.70866140	1.49606300
4.76135989	0.70866140	1.49606300
4.77359989	0.70866140	1.49606300
4.78583988	0.70866140	1.49606300
4.79807988	0.70866140	1.49606300
4.81031988	0.78740160	1.49606300
4.82255988	0.78740160	1.49606300
4.83479988	0.78740160	1.49606300
4.84703988	0.78740160	1.49606300
4.85927988	0.78740160	1.49606300
4.87151988	0.78740160	1.49606300
4.88375988	0.78740160	1.49606300
4.89599988	0.78740160	1.49606300
4.90823988	0.86614170	1.49606300
4.92047988	0.86614170	1.49606300
4.93271988	0.86614170	1.49606300
4.94495988	0.86614170	1.49606300
4.95719988	0.86614170	1.49606300
4.96943988	0.94488190	1.49606300
4.98167988	0.94488190	1.49606300
4.99391988	0.94488190	1.49606300
5.00615988	0.94488190	1.49606300
5.01839988	0.94488190	1.49606300
5.03063988	0.94488190	1.49606300
5.04287988	1.02362200	1.49606300
5.05511988	1.02362200	1.49606300
5.06735988	1.02362200	1.49606300
5.07959988	1.02362200	1.49606300
5.09183988	1.02362200	1.57480300
5.10407988	1.02362200	1.49606300
5.11631988	1.10236200	1.57480300
5.12855988	1.10236200	1.49606300
5.14079988	1.10236200	1.57480300
5.15303988	1.10236200	1.49606300
5.16527988	1.10236200	1.57480300
5.17751988	1.18110200	1.57480300
5.18975988	1.18110200	1.49606300
5.20199987	1.18110200	1.49606300
5.21423987	1.18110200	1.57480300
5.22647987	1.18110200	1.57480300
